Timestep,IMU1_tick,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_tick,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_tick,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz,IMU4_tick,IMU4_ax,IMU4_ay,IMU4_az,IMU4_gx,IMU4_gy,IMU4_gz,IMU5_tick,IMU5_ax,IMU5_ay,IMU5_az,IMU5_gx,IMU5_gy,IMU5_gz,move,label,person_id
1257,58453,12701,-2040,13619,-1175,554,-768,58453,430,16231,-1748,405,121,-119,59554,-1053,30888,4331,111,796,-299,59554,-740,-31722,12628,70,469,-10,58453,-2102,31535,7023,-201,103,-428,9,1,imu_label_2_202511150730
1258,59555,12701,-2040,13619,-1175,554,-763,59555,430,16232,-1748,405,150,-119,59576,-1053,30888,4331,111,804,-299,59576,-740,-31718,12644,70,469,-10,59555,-2102,31535,7023,-201,103,-409,9,1,imu_label_2_202511150730
1259,59577,12701,-2040,13619,-1175,552,-763,59577,401,16232,-1748,393,150,-119,59598,-1053,30888,4331,111,804,-299,59598,-772,-31718,12644,70,469,-10,59577,-2162,31535,7023,-212,103,-409,9,1,imu_label_2_202511150730
1260,59599,13701,-2038,13732,-1165,551,-743,59599,379,16245,-1758,384,171,-146,59620,-1137,31046,5331,201,904,-280,59620,-828,-31702,12721,74,371,12,59599,-2267,31555,6993,-220,109,-309,9,1,imu_label_2_202511150730
1261,59621,13701,-2038,13814,-1131,551,-743,59621,379,16245,-1758,384,184,-146,59642,-1137,31058,5331,201,913,-280,59642,-828,-31702,12721,74,371,16,59621,-2267,31555,6993,-220,109,-305,9,1,imu_label_2_202511150730
1262,59643,13701,-2038,13814,-1131,550,-743,59643,356,16245,-1777,377,184,-167,59664,-1200,31058,5331,201,913,-280,59664,-870,-31702,12721,74,326,16,59643,-2372,31546,6984,-243,109,-305,9,1,imu_label_2_202511150730
1263,59665,14701,-2066,14020,-1058,519,-732,59665,334,16240,-1795,367,209,-178,59686,-1226,31197,6331,227,995,-263,59686,-912,-31710,12778,105,320,68,59665,-2457,31546,6978,-260,118,-215,9,1,imu_label_2_202511150730
1264,59687,14701,-2066,14020,-1056,519,-728,59687,334,16240,-1795,367,233,-178,59708,-1226,31211,6331,227,1001,-241,59708,-912,-31710,12778,105,320,68,59687,-2457,31547,6978,-260,152,-203,9,1,imu_label_2_202511150730
1265,59709,14701,-2066,14020,-1056,495,-728,59709,298,16237,-1808,360,233,-178,59730,-1226,31211,6331,227,1001,-241,59730,-943,-31716,12778,105,320,68,59709,-2524,31547,6973,-265,152,-203,9,1,imu_label_2_202511150730
1266,59731,15701,-2015,14151,-1000,472,-699,59731,264,16236,-1819,355,249,-168,59752,-1221,31306,7204,247,1056,-212,59752,-979,-31716,12831,112,353,107,59731,-2575,31544,6973,-268,169,-115,9,1,imu_label_2_202511150730
1267,59753,15701,-2015,14151,-995,472,-699,59753,264,16236,-1819,355,249,-161,59774,-1217,31306,7204,255,1056,-207,59774,-979,-31701,12841,112,353,110,59753,-2575,31542,6977,-268,169,-115,9,1,imu_label_2_202511150730
1268,59775,15701,-2015,14151,-995,446,-699,59775,239,16235,-1827,351,249,-161,59796,-1214,31306,7204,255,1056,-207,59796,-1010,-31701,12841,103,353,110,59775,-2619,31542,6977,-268,169,-115,9,1,imu_label_2_202511150730
1269,59797,16701,-1995,14257,-956,414,-693,59797,220,16234,-1835,343,261,-150,59818,-1262,31369,7845,283,1092,-187,59818,-1071,-31681,12940,79,378,148,59797,-2672,31532,6980,-270,173,-57,9,1,imu_label_2_202511150730
1270,59819,16701,-1995,14257,-956,414,-693,59819,220,16234,-1835,343,287,-150,59840,-1262,31377,7845,289,1092,-187,59840,-1071,-31681,12940,79,378,148,59819,-2672,31532,6980,-270,173,-57,9,1,imu_label_2_202511150730
1271,59841,16701,-1995,14257,-956,410,-693,59841,196,16229,-1841,336,287,-150,59862,-1364,31377,7845,289,1092,-189,59862,-1079,-31681,12940,-146,378,70,59841,-2736,31532,6980,-316,173,-57,9,1,imu_label_2_202511150730
1272,59863,17701,-1992,14370,-929,410,-689,59863,123,16229,-1841,332,327,-147,59884,-1577,31508,8195,326,1199,-211,59884,-1261,-31666,12929,-430,1044,-172,59863,-2792,31525,6887,-552,453,174,9,1,imu_label_2_202511150730
